Array;Source Name;Cell_line;ClustGroup
5500994158987071513202_B05.cel;J132_EPB05P4_LCLC-103H_Lung:NSCLC_753586;LCLC-103H;4
5500994158987071513207_B05.cel;J132_EPB05P5_WM793B_Skin_1299081;WM793B;2
5500994172383112813928_B05.cel;J132_EPB05P6_KON_Head & Neck_1298215;KON;1
5500994158987071513201_B05.cel;J132_EPB05P7_PANC-10-05_Pancreas_925348;PANC-10-05;2
5500994172383112813930_B05.cel;J132_EPB05P8_NCI-H740_Lung_1331055;NCI-H740;6
5500994172948120113978_B05.cel;J132_EPB05P9_NCI-H660_Prostate_1330975;NCI-H660;6
5500994173212120213068_B06.cel;J132_EPB06P10_CS1_Bone_1290795;CS1;4
5500994157493061613625_B06.cel;J132_EPB06P1_H2373_Lung_1290809;H2373;4
5500994158987071513209_B06.cel;J132_EPB06P2_CAKI-1_Kidney_905963;CAKI-1;4
5500994172383112813929_B06.cel;J132_EPB06P3_ECC10_Stomach_906848;ECC10;6
5500994158987071513202_B06.cel;J132_EPB06P4_L-1236_Blood_1330935;L-1236;8
5500994158987071513207_B06.cel;J132_EPB06P5_YAPC_Pancreas_909904;YAPC;2
5500994172383112813928_B06.cel;J132_EPB06P6_Hs-766T_Pancreas_1298141;Hs-766T;1
5500994158987071513201_B06.cel;J132_EPB06P7_PE-CA-PJ15_Head & Neck_1240207;PE-CA-PJ15;1
5500994172383112813930_B06.cel;J132_EPB06P8_NCI-SNU-16_Stomach_908446;NCI-SNU-16;2
5500994172948120113978_B06.cel;J132_EPB06P9_KARPAS-299_haematopoietic_and_lymphoid_tissue_907273;KARPAS-299;8
5500994173212120213068_B07.cel;J132_EPB07P10_Raji_Blood_909262;Raji;8
5500994157493061613625_B07.cel;J132_EPB07P1_ES1_Bone_949158;ES1;5
5500994158987071513209_B07.cel;J132_EPB07P2_COLO-679_Skin_906818;COLO-679;3
5500994172383112813929_B07.cel;J132_EPB07P3_EW-13_Bone_949166;EW-13;5
5500994158987071513202_B07.cel;J132_EPB07P4_LN-405_Brain_910694;LN-405;4
5500994158987071513207_B07.cel;J132_EPB07P5_TE-10_Esophagus_753622;TE-10;1
5500994172383112813928_B07.cel;J132_EPB07P6_HCE-T_Sinus_907049;HCE-T;2
5500994158987071513201_B07.cel;J132_EPB07P7_NCI-H1304_Lung_753599;NCI-H1304;6
5500994172383112813930_B07.cel;J132_EPB07P8_NU-DUL-1_Blood_1330982;NU-DUL-1;8
5500994172948120113978_B07.cel;J132_EPB07P9_NCI-H2172_Lung:NSCLC_1298353;NCI-H2172;2
5500994173212120213068_B08.cel;J132_EPB08P10_NCI-N87_Stomach_908461;NCI-N87;2
5500994157493061613625_B08.cel;J132_EPB08P1_HDLM-2_Blood_924110;HDLM-2;8
5500994158987071513209_B08.cel;J132_EPB08P2_CAL-78_Bone_1290765;CAL-78;4
5500994172383112813929_B08.cel;J132_EPB08P3_HSC-3_Head & Neck_907061;HSC-3;1
5500994158987071513202_B08.cel;J132_EPB08P4_L-540_Blood_907323;L-540;8
