Array;ClustGroup;Cell_line;Tissue;Tissue sub-type;Cell_line_Tissue;TCGA
5500994158987071513207_F12.cel;6;T47D;breast;breast;T47D_Breast_905945;BRCA
5500994158987071513207_F12.cel;6;T47D;breast;breast;T47D_Breast_905945;BRCA
5500994173212120213068_C01.cel;6;TC-YIK;urogenital_system;cervix;TC-YIK_Cervix_946357;UNCLASSIFIED
5500994173212120213068_C01.cel;6;TC-YIK;urogenital_system;cervix;TC-YIK_Cervix_946357;UNCLASSIFIED
5500994175999120813240_H10.cel;6;TT;thyroid;thyroid;TT_thyroid_930299;THCA
5500994175999120813240_H10.cel;6;TT;thyroid;thyroid;TT_thyroid_930299;THCA
5500994173212120213068_A01.cel;6;UACC-812;breast;breast;UACC-812_breast_910910;BRCA
5500994173212120213068_A01.cel;6;UACC-812;breast;breast;UACC-812_breast_910910;BRCA
5500994158987071513207_C04.cel;6;UACC-893;breast;breast;UACC-893_Breast_909778;BRCA
5500994158987071513207_C04.cel;6;UACC-893;breast;breast;UACC-893_Breast_909778;BRCA
5500994158987071513207_H04.cel;6;UMC-11;lung;lung_NSCLC_carcinoid;UMC-11_Lung_909779;UNCLASSIFIED
5500994158987071513207_H04.cel;6;UMC-11;lung;lung_NSCLC_carcinoid;UMC-11_Lung_909779;UNCLASSIFIED
5500994158987071513207_D04.cel;6;VCaP;urogenital_system;prostate;VCaP_Prostate_1299075;PRAD
5500994158987071513207_D04.cel;6;VCaP;urogenital_system;prostate;VCaP_Prostate_1299075;PRAD
5500994172948120113978_A10.cel;6;VMRC-LCD;lung;lung_NSCLC_adenocarcinoma;VMRC-LCD_Lung:NSCLC_713869;LUAD
5500994172948120113978_A10.cel;6;VMRC-LCD;lung;lung_NSCLC_adenocarcinoma;VMRC-LCD_Lung:NSCLC_713869;LUAD
5500994158987071513207_C06.cel;6;ZR-75-30;breast;breast;ZR-75-30_Breast_909907;BRCA
5500994158987071513207_C06.cel;6;ZR-75-30;breast;breast;ZR-75-30_Breast_909907;BRCA
5500994172948120113978_E07.cel;6;huH-1;digestive_system;liver;huH-1_Liver_1298146;LIHC
5500994172948120113978_E07.cel;6;huH-1;digestive_system;liver;huH-1_Liver_1298146;LIHC
5500994158987071513209_D01.cel;7;697;blood;lymphoblastic_leukemia;697_Blood_906800;UNCLASSIFIED
5500994158987071513209_D01.cel;7;697;blood;lymphoblastic_leukemia;697_Blood_906800;UNCLASSIFIED
