Cell_line;Tissue sub-type;Count;
SW620;COREAD;digestive_system;large_intestine
SW620;COREAD;digestive_system;large_intestine
SW626;OV;urogenital_system;ovary
SW626;OV;urogenital_system;ovary
SW684;UNCLASSIFIED;soft_tissue;fibrosarcoma
SW684;UNCLASSIFIED;soft_tissue;fibrosarcoma
SW756;CESC;urogenital_system;cervix
SW756;CESC;urogenital_system;cervix
SW780;BLCA;urogenital_system;bladder
SW780;BLCA;urogenital_system;bladder
SW837;COREAD;digestive_system;large_intestine
SW837;COREAD;digestive_system;large_intestine
SW872;UNCLASSIFIED;soft_tissue;soft_tissue_other
SW872;UNCLASSIFIED;soft_tissue;soft_tissue_other
SW900;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
SW900;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
SW948;COREAD;digestive_system;large_intestine
SW948;COREAD;digestive_system;large_intestine
SW954;UNCLASSIFIED;urogenital_system;urogenital_system_other
SW962;UNCLASSIFIED;urogenital_system;urogenital_system_other
SW982;UNCLASSIFIED;soft_tissue;soft_tissue_other
SW982;UNCLASSIFIED;soft_tissue;soft_tissue_other
Saos-2;UNCLASSIFIED;bone;osteosarcoma
Saos-2;UNCLASSIFIED;bone;osteosarcoma
SiHa;CESC;urogenital_system;cervix
SiHa;CESC;urogenital_system;cervix
T-T;ESCA;aero_digestive_tract;oesophagus
T-T;ESCA;aero_digestive_tract;oesophagus
T24;BLCA;urogenital_system;bladder
T47D;BRCA;breast;breast
T47D;BRCA;breast;breast
T84;COREAD;digestive_system;large_intestine
T84;COREAD;digestive_system;large_intestine
T98G;GBM;nervous_system;glioma
T98G;GBM;nervous_system;glioma
TALL-1;ALL;blood;lymphoblastic_T_cell_leukaemia
TC-71;UNCLASSIFIED;bone;ewings_sarcoma
TC-71;UNCLASSIFIED;bone;ewings_sarcoma
TC-YIK;UNCLASSIFIED;urogenital_system;cervix
TC-YIK;UNCLASSIFIED;urogenital_system;cervix
TCCSUP;BLCA;urogenital_system;bladder
TCCSUP;BLCA;urogenital_system;bladder
TE-1;ESCA;aero_digestive_tract;oesophagus
TE-1;ESCA;aero_digestive_tract;oesophagus
TE-10;ESCA;aero_digestive_tract;oesophagus
TE-11;ESCA;aero_digestive_tract;oesophagus
TE-12;ESCA;aero_digestive_tract;oesophagus
TE-12;ESCA;aero_digestive_tract;oesophagus
TE-15;ESCA;aero_digestive_tract;oesophagus
TE-15;ESCA;aero_digestive_tract;oesophagus
TE-4;ESCA;aero_digestive_tract;oesophagus
TE-4;ESCA;aero_digestive_tract;oesophagus
TE-441-T;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
TE-5;ESCA;aero_digestive_tract;oesophagus
TE-5;ESCA;aero_digestive_tract;oesophagus
TE-6;ESCA;aero_digestive_tract;oesophagus
TE-6;ESCA;aero_digestive_tract;oesophagus
TE-8;ESCA;aero_digestive_tract;oesophagus
TE-8;ESCA;aero_digestive_tract;oesophagus
TE-9;ESCA;aero_digestive_tract;oesophagus
TE-9;ESCA;aero_digestive_tract;oesophagus
TGBC11TKB;STAD;digestive_system;stomach
TGBC11TKB;STAD;digestive_system;stomach
TGBC1TKB;UNCLASSIFIED;digestive_system;biliary_tract
TGBC1TKB;UNCLASSIFIED;digestive_system;biliary_tract
TGBC24TKB;UNCLASSIFIED;digestive_system;biliary_tract
TGBC24TKB;UNCLASSIFIED;digestive_system;biliary_tract
TGW;NB;nervous_system;neuroblastoma
TGW;NB;nervous_system;neuroblastoma
THP-1;LAML;blood;acute_myeloid_leukaemia
TK;DLBC;blood;B_cell_lymphoma
TK;DLBC;blood;B_cell_lymphoma
TK10;KIRC;kidney;kidney
TK10;KIRC;kidney;kidney
TMK-1;STAD;digestive_system;stomach
TOV-112D;OV;urogenital_system;ovary
TOV-112D;OV;urogenital_system;ovary
TOV-21G;OV;urogenital_system;ovary
TOV-21G;OV;urogenital_system;ovary
TT;THCA;thyroid;thyroid
TT;THCA;thyroid;thyroid
TT2609-C02;THCA;thyroid;thyroid
TT2609-C02;THCA;thyroid;thyroid
TUR;DLBC;blood;B_cell_lymphoma
TUR;DLBC;blood;B_cell_lymphoma
TYK-nu;UNCLASSIFIED;urogenital_system;ovary
TYK-nu;UNCLASSIFIED;urogenital_system;ovary
U-118-MG;GBM;nervous_system;glioma
U-118-MG;GBM;nervous_system;glioma
U-2-OS;UNCLASSIFIED;bone;osteosarcoma
U-2-OS;UNCLASSIFIED;bone;osteosarcoma
U-266;MM;blood;myeloma
U-266;MM;blood;myeloma
U-698-M;UNCLASSIFIED;blood;B_cell_leukemia
U-698-M;UNCLASSIFIED;blood;B_cell_leukemia
U-87-MG;GBM;nervous_system;glioma
U-87-MG;GBM;nervous_system;glioma
U031;KIRC;kidney;kidney
U251;GBM;nervous_system;glioma
U251;GBM;nervous_system;glioma
UACC-257;SKCM;skin;melanoma
UACC-257;SKCM;skin;melanoma
UACC-62;SKCM;skin;melanoma
UACC-62;SKCM;skin;melanoma
UACC-812;BRCA;breast;breast
UACC-812;BRCA;breast;breast
UACC-893;BRCA;breast;breast
UACC-893;BRCA;breast;breast
UM-UC-3;BLCA;urogenital_system;bladder
UM-UC-3;BLCA;urogenital_system;bladder
UMC-11;UNCLASSIFIED;lung;lung_NSCLC_carcinoid
UMC-11;UNCLASSIFIED;lung;lung_NSCLC_carcinoid
UWB1.289;OV;urogenital_system;ovary
VA-ES-BJ;UNCLASSIFIED;soft_tissue;soft_tissue_other
VA-ES-BJ;UNCLASSIFIED;soft_tissue;soft_tissue_other
VAL;DLBC;blood;B_cell_lymphoma
VAL;DLBC;blood;B_cell_lymphoma
VCaP;PRAD;urogenital_system;prostate
VCaP;PRAD;urogenital_system;prostate
VM-CUB-1;BLCA;urogenital_system;bladder
VM-CUB-1;BLCA;urogenital_system;bladder
VMRC-LCD;LUAD;lung;lung_NSCLC_adenocarcinoma
VMRC-LCD;LUAD;lung;lung_NSCLC_adenocarcinoma
VMRC-MELG;SKCM;skin;melanoma
VMRC-RCW;KIRC;kidney;kidney
VMRC-RCZ;KIRC;kidney;kidney
VMRC-RCZ;KIRC;kidney;kidney
WIL2-NS;UNCLASSIFIED;blood;lymphoid_neoplasm_other
WIL2-NS;UNCLASSIFIED;blood;lymphoid_neoplasm_other
WM-115;SKCM;skin;melanoma
WM-115;SKCM;skin;melanoma
WM1552C;SKCM;skin;melanoma
WM1552C;SKCM;skin;melanoma
WM278;SKCM;skin;melanoma
WM278;SKCM;skin;melanoma
WM35;SKCM;skin;melanoma
WM35;SKCM;skin;melanoma
WM793B;SKCM;skin;melanoma
WM793B;SKCM;skin;melanoma
WSU-DLCL2;DLBC;blood;B_cell_lymphoma
WSU-DLCL2;DLBC;blood;B_cell_lymphoma
WSU-NHL;UNCLASSIFIED;blood;lymphoid_neoplasm_other
WSU-NHL;UNCLASSIFIED;blood;lymphoid_neoplasm_other
YAPC;PAAD;pancreas;pancreas
YAPC;PAAD;pancreas;pancreas
YH-13;GBM;nervous_system;glioma
YH-13;GBM;nervous_system;glioma
YKG-1;GBM;nervous_system;glioma
YMB-1-E;BRCA;breast;breast
YT;ALL;blood;lymphoid_neoplasm_other
YT;ALL;blood;lymphoid_neoplasm_other
ZR-75-30;BRCA;breast;breast
ZR-75-30;BRCA;breast;breast
huH-1;LIHC;digestive_system;liver
huH-1;LIHC;digestive_system;liver
no-10;LGG;nervous_system;glioma
no-11;LGG;nervous_system;glioma
