Cell_line;Tissue sub-type;Count;
COR-L311;SCLC;lung;lung_small_cell_carcinoma
COR-L32;SCLC;lung;lung_small_cell_carcinoma
COR-L32;SCLC;lung;lung_small_cell_carcinoma
COR-L321;UNCLASSIFIED;lung;lung_other
COR-L88;SCLC;lung;lung_small_cell_carcinoma
COR-L88;SCLC;lung;lung_small_cell_carcinoma
COR-L95;SCLC;lung;lung_small_cell_carcinoma
COR-L95;SCLC;lung;lung_small_cell_carcinoma
CP50-MEL-B;SKCM;skin;melanoma
CP66-MEL;SKCM;skin;melanoma
CP66-MEL;SKCM;skin;melanoma
CP67-MEL;SKCM;skin;melanoma
CPC-N;SCLC;lung;lung_small_cell_carcinoma
CPC-N;SCLC;lung;lung_small_cell_carcinoma
CRO-AP2;DLBC;blood;B_cell_lymphoma
CS1;UNCLASSIFIED;bone;bone_other
CS1;UNCLASSIFIED;bone;bone_other
CTB-1;DLBC;blood;B_cell_lymphoma
CTV-1;LAML;blood;acute_myeloid_leukaemia
CTV-1;LAML;blood;acute_myeloid_leukaemia
CW-2;COREAD;digestive_system;large_intestine
CW-2;COREAD;digestive_system;large_intestine
Ca-Ski;CESC;urogenital_system;cervix
Ca-Ski;CESC;urogenital_system;cervix
Ca9-22;HNSC;aero_digestive_tract;head_and_neck
Ca9-22;HNSC;aero_digestive_tract;head_and_neck
CaR-1;COREAD;digestive_system;large_intestine
CaR-1;COREAD;digestive_system;large_intestine
Calu-3;LUAD;lung;lung_NSCLC_adenocarcinoma
Calu-3;LUAD;lung;lung_NSCLC_adenocarcinoma
Calu-6;LUAD;lung;lung_NSCLC_adenocarcinoma
Calu-6;LUAD;lung;lung_NSCLC_adenocarcinoma
Caov-3;OV;urogenital_system;ovary
Caov-4;OV;urogenital_system;ovary
Caov-4;OV;urogenital_system;ovary
ChaGo-K-1;UNCLASSIFIED;lung;lung_NSCLC_not_specified
D-247MG;GBM;nervous_system;glioma
D-263MG;GBM;nervous_system;glioma
D-263MG;GBM;nervous_system;glioma
D-283MED;MB;nervous_system;medulloblastoma
D-283MED;MB;nervous_system;medulloblastoma
D-336MG;LGG;nervous_system;glioma
D-392MG;GBM;nervous_system;glioma
D-392MG;GBM;nervous_system;glioma
D-423MG;GBM;nervous_system;glioma
D-502MG;LGG;nervous_system;glioma
D-542MG;GBM;nervous_system;glioma
D-566MG;GBM;nervous_system;glioma
DAN-G;PAAD;pancreas;pancreas
DAN-G;PAAD;pancreas;pancreas
DB;DLBC;blood;B_cell_lymphoma
DB;DLBC;blood;B_cell_lymphoma
DBTRG-05MG;GBM;nervous_system;glioma
DBTRG-05MG;GBM;nervous_system;glioma
DEL;UNCLASSIFIED;blood;lymphoid_neoplasm_other
DEL;UNCLASSIFIED;blood;lymphoid_neoplasm_other
DG-75;UNCLASSIFIED;blood;Burkitt_lymphoma
DG-75;UNCLASSIFIED;blood;Burkitt_lymphoma
DJM-1;UNCLASSIFIED;skin;skin_other
DK-MG;GBM;nervous_system;glioma
DK-MG;GBM;nervous_system;glioma
DMS-114;SCLC;lung;lung_small_cell_carcinoma
DMS-114;SCLC;lung;lung_small_cell_carcinoma
DMS-273;SCLC;lung;lung_small_cell_carcinoma
DMS-273;SCLC;lung;lung_small_cell_carcinoma
DMS-53;SCLC;lung;lung_small_cell_carcinoma
DMS-53;SCLC;lung;lung_small_cell_carcinoma
DMS-79;SCLC;lung;lung_small_cell_carcinoma
DMS-79;SCLC;lung;lung_small_cell_carcinoma
DND-41;ALL;blood;T_cell_leukemia
DND-41;ALL;blood;T_cell_leukemia
DOHH-2;DLBC;blood;B_cell_lymphoma
DOHH-2;DLBC;blood;B_cell_lymphoma
DOK;HNSC;aero_digestive_tract;head_and_neck
DOK;HNSC;aero_digestive_tract;head_and_neck
DOV13;OV;urogenital_system;ovary
DOV13;OV;urogenital_system;ovary
DSH1;BLCA;urogenital_system;bladder
DSH1;BLCA;urogenital_system;bladder
DU-145;PRAD;urogenital_system;prostate
DU-145;PRAD;urogenital_system;prostate
DU-4475;BRCA;breast;breast
DU-4475;BRCA;breast;breast
Daoy;MB;nervous_system;medulloblastoma
